	Mode	Type	Ancien	Eloign	Superf
188	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
189	Couple	Appart	plus_3ans	moins_1km	plus_30m
190	Seul	Studio	plus_3ans	moins_1km	de_20_30m
191	Seul	Studio	moins_1an	de_1_5km	de_20_30m
192	Seul	Appart	moins_1an	moins_1km	de_20_30m
193	Seul	Appart	de_1_3ans	moins_1km	de_20_30m
194	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
195	Seul	Appart	moins_1an	de_1_5km	de_20_30m
196	Seul	Studio	plus_3ans	moins_1km	de_20_30m
197	Couple	Appart	plus_3ans	moins_1km	plus_30m
198	Seul	Appart	moins_1an	moins_1km	de_20_30m
199	Seul	Studio	moins_1an	de_1_5km	de_20_30m
200	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
201	Seul	Studio	de_1_3ans	moins_1km	de_10_20m
202	Seul	Appart	de_1_3ans	moins_1km	de_20_30m
203	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
204	Coloc	Appart	de_1_3ans	moins_1km	plus_30m
205	Couple	Appart	plus_3ans	moins_1km	plus_30m
206	Seul	Studio	plus_3ans	moins_1km	de_20_30m
207	Seul	Appart	moins_1an	de_1_5km	de_20_30m
208	Seul	Chamb	moins_1an	moins_1km	de_10_20m
209	Seul	Cite	de_1_3ans	de_1_5km	de_10_20m
210	Couple	Studio	de_1_3ans	de_1_5km	plus_30m
211	Couple	Appart	de_1_3ans	moins_1km	plus_30m
212	Couple	Studio	plus_3ans	de_1_5km	plus_30m
213	Seul	Studio	plus_3ans	moins_1km	de_10_20m
214	Coloc	Studio	plus_3ans	de_1_5km	plus_30m
215	Seul	Studio	moins_1an	de_1_5km	de_20_30m
216	Couple	Studio	de_1_3ans	de_1_5km	plus_30m
217	Couple	Studio	de_1_3ans	plus_5km_NR	de_20_30m
218	Seul	Studio	plus_3ans	de_1_5km	de_10_20m
219	Coloc	Studio	plus_3ans	moins_1km	de_20_30m
220	Seul	Appart	moins_1an	de_1_5km	de_20_30m
221	Seul	Chamb	de_1_3ans	plus_5km_NR	moins_10m
222	Seul	Studio	moins_1an	de_1_5km	de_20_30m
223	Couple	Studio	plus_3ans	de_1_5km	plus_30m
224	Couple	Appart	plus_3ans	moins_1km	plus_30m
225	Couple	Studio	de_1_3ans	de_1_5km	plus_30m
226	Seul	Studio	plus_3ans	moins_1km	moins_10m
227	Coloc	Studio	plus_3ans	de_1_5km	plus_30m
228	Seul	Studio	de_1_3ans	de_1_5km	de_10_20m
229	Couple	Studio	plus_3ans	plus_5km_NR	de_20_30m
230	Seul	Studio	moins_1an	de_1_5km	de_20_30m
231	Couple	Appart	plus_3ans	de_1_5km	plus_30m
232	Couple	Studio	plus_3ans	moins_1km	plus_30m
233	Seul	Appart	moins_1an	moins_1km	de_20_30m
234	Couple	Appart	plus_3ans	de_1_5km	de_20_30m
235	Coloc	Studio	plus_3ans	de_1_5km	plus_30m
236	Coloc	Appart	de_1_3ans	moins_1km	plus_30m
237	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
238	Seul	Studio	moins_1an	de_1_5km	de_10_20m
239	Couple	Appart	de_1_3ans	de_1_5km	de_20_30m
240	Seul	Appart	de_1_3ans	moins_1km	de_20_30m
241	Couple	Appart	plus_3ans	moins_1km	plus_30m
242	Couple	Cite	plus_3ans	plus_5km_NR	moins_10m
243	Couple	Appart	de_1_3ans	de_1_5km	plus_30m
244	Seul	Cite	de_1_3ans	de_1_5km	moins_10m
245	NR1	Autre	NR3	de_1_5km	plus_30m
246	Couple	Studio	plus_3ans	de_1_5km	plus_30m
247	Coloc	Studio	de_1_3ans	moins_1km	plus_30m
248	Couple	Appart	moins_1an	moins_1km	plus_30m
249	Coloc	Appart	moins_1an	de_1_5km	de_20_30m
250	Couple	Appart	de_1_3ans	de_1_5km	plus_30m
251	Coloc	Appart	moins_1an	de_1_5km	de_20_30m
252	NR1	Autre	NR3	de_1_5km	plus_30m
253	Couple	Appart	plus_3ans	de_1_5km	plus_30m
254	NR1	Autre	NR3	de_1_5km	plus_30m
255	Coloc	Cite	moins_1an	de_1_5km	plus_30m
256	Coloc	Appart	moins_1an	de_1_5km	de_20_30m
257	Seul	Chamb	moins_1an	de_1_5km	de_10_20m
258	Seul	Appart	de_1_3ans	moins_1km	de_20_30m
259	Seul	Chamb	de_1_3ans	de_1_5km	de_10_20m
260	Couple	Appart	moins_1an	de_1_5km	de_20_30m
261	Seul	Appart	plus_3ans	de_1_5km	de_20_30m
262	Coloc	Appart	moins_1an	moins_1km	plus_30m
263	Coloc	Cite	plus_3ans	moins_1km	moins_10m
264	Couple	Appart	plus_3ans	moins_1km	plus_30m
265	Coloc	Appart	moins_1an	de_1_5km	plus_30m
266	Couple	Cite	moins_1an	de_1_5km	moins_10m
267	Seul	Cite	plus_3ans	moins_1km	de_10_20m
268	Coloc	Cite	de_1_3ans	de_1_5km	plus_30m
269	Coloc	Appart	moins_1an	moins_1km	plus_30m
270	Coloc	Autre	moins_1an	de_1_5km	plus_30m
271	Coloc	NR2	moins_1an	plus_5km_NR	de_10_20m
272	Coloc	Appart	moins_1an	de_1_5km	plus_30m
273	Coloc	Appart	de_1_3ans	moins_1km	plus_30m
274	Couple	Appart	de_1_3ans	plus_5km_NR	plus_30m
275	Couple	Appart	plus_3ans	de_1_5km	plus_30m
276	Couple	Appart	plus_3ans	moins_1km	plus_30m
277	Couple	Appart	moins_1an	de_1_5km	plus_30m
278	Coloc	Chamb	moins_1an	moins_1km	de_20_30m
279	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
280	Coloc	NR2	de_1_3ans	plus_5km_NR	de_10_20m
281	Seul	Appart	plus_3ans	moins_1km	de_10_20m
282	Coloc	Appart	plus_3ans	moins_1km	plus_30m
283	NR1	NR2	NR3	moins_1km	NR5
284	Couple	Appart	plus_3ans	plus_5km_NR	de_20_30m
285	Couple	Appart	de_1_3ans	moins_1km	plus_30m
286	Couple	Appart	plus_3ans	de_1_5km	plus_30m
287	Seul	Appart	plus_3ans	moins_1km	de_10_20m
288	Seul	Studio	plus_3ans	moins_1km	plus_30m
289	Coloc	Studio	plus_3ans	de_1_5km	plus_30m
290	Coloc	Appart	plus_3ans	moins_1km	plus_30m
291	Couple	Studio	plus_3ans	plus_5km_NR	de_20_30m
292	Seul	Studio	plus_3ans	de_1_5km	de_10_20m
293	Seul	Studio	moins_1an	plus_5km_NR	plus_30m
294	NR1	Studio	NR3	plus_5km_NR	plus_30m
295	Couple	Appart	plus_3ans	plus_5km_NR	plus_30m
296	Couple	Appart	plus_3ans	de_1_5km	de_20_30m
297	Coloc	Cite	plus_3ans	plus_5km_NR	de_20_30m
298	Seul	Appart	de_1_3ans	moins_1km	de_20_30m
299	Couple	Appart	de_1_3ans	plus_5km_NR	plus_30m
300	Coloc	Appart	plus_3ans	de_1_5km	plus_30m
301	Seul	Studio	de_1_3ans	de_1_5km	plus_30m
302	Couple	Appart	plus_3ans	moins_1km	plus_30m
303	Seul	Appart	moins_1an	plus_5km_NR	plus_30m
304	Seul	Appart	moins_1an	de_1_5km	plus_30m
305	Coloc	NR2	moins_1an	plus_5km_NR	de_20_30m
306	Coloc	Appart	plus_3ans	de_1_5km	plus_30m
307	Coloc	Chamb	plus_3ans	plus_5km_NR	de_10_20m
308	Coloc	Autre	plus_3ans	de_1_5km	plus_30m
309	Coloc	Appart	plus_3ans	de_1_5km	plus_30m
310	NR1	Chamb	NR3	moins_1km	plus_30m
311	Seul	Appart	moins_1an	moins_1km	de_10_20m
312	Coloc	Appart	plus_3ans	moins_1km	de_20_30m
313	Couple	Autre	plus_3ans	de_1_5km	de_20_30m
314	Seul	Appart	de_1_3ans	de_1_5km	de_20_30m
315	Couple	Appart	moins_1an	plus_5km_NR	plus_30m
316	Seul	Appart	moins_1an	de_1_5km	plus_30m
317	Seul	Appart	moins_1an	de_1_5km	de_10_20m
318	Seul	Appart	de_1_3ans	de_1_5km	moins_10m
319	NR1	Autre	moins_1an	de_1_5km	plus_30m
320	Seul	Appart	moins_1an	de_1_5km	plus_30m
321	Seul	NR2	de_1_3ans	moins_1km	de_10_20m
322	Seul	Appart	plus_3ans	de_1_5km	de_10_20m
323	NR1	NR2	NR3	de_1_5km	de_10_20m
324	Seul	Appart	de_1_3ans	de_1_5km	plus_30m
325	Coloc	NR2	de_1_3ans	plus_5km_NR	de_10_20m
326	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
327	Seul	Chamb	de_1_3ans	de_1_5km	de_20_30m
328	Couple	Appart	plus_3ans	de_1_5km	de_20_30m
329	NR1	Appart	de_1_3ans	de_1_5km	NR5
330	Couple	NR2	NR3	de_1_5km	de_10_20m
331	Seul	Appart	plus_3ans	de_1_5km	de_10_20m
332	Couple	Appart	plus_3ans	plus_5km_NR	plus_30m
333	NR1	Appart	NR3	moins_1km	plus_30m
334	Seul	Appart	plus_3ans	de_1_5km	de_10_20m
335	NR1	Appart	NR3	de_1_5km	NR5
